year,month,date,string
2085,April,30,"['30-04-2085', '04/30/2085', '2085/04/30', '30th April, 2085', '30/04/2085', '2085-04-30', 'April 30th, 2085']"
2065,August,28,"['28 Aug 2065', '28/08/2065', '08/28/2065', '2065-08-28']"
1915,April,30,['1915/04/30']
2021,December,20,"['20/12/2021', '20-12-2021', '12/20/2021', 'December 20th, 2021', '2021/12/20', '2021-12-20']"
1918,December,18,['12/18/1918']
1954,January,28,"['28th January, 1954']"
2081,June,17,"['17th June, 2081', '17/06/2081', '06/17/2081', 'June 17th, 2081', '17 Jun 2081']"
1927,October,7,"['07-10-1927', '07/10/1927', '1927/10/07', 'October 7th, 1927']"
2017,April,4,"['04/04/2017', '04-04-2017', '04 Apr 2017', '2017-04-04']"
1958,July,3,"['07/03/1958', 'July 3rd, 1958', '03-07-1958', '1958/07/03']"
2079,June,5,"['06/05/2079', '05/06/2079', '2079-06-05', '5th June, 2079', '05-06-2079', '2079/06/05', 'June 5th, 2079', '05 Jun 2079']"
2004,April,14,"['April 14th, 2004', '14-04-2004']"
1948,March,25,"['25/03/1948', '25-03-1948', '25th March, 1948']"
1937,December,16,"['1937/12/16', '12/16/1937', '16-12-1937', '16th December, 1937', '16/12/1937', '1937-12-16']"
2091,April,28,"['28 Apr 2091', '28-04-2091', '28/04/2091', '04/28/2091', '28th April, 2091', 'April 28th, 2091', '2091/04/28', '2091-04-28']"
1948,December,24,"['1948/12/24', '24 Dec 1948', '12/24/1948']"
2077,January,11,"['11-01-2077', '11th January, 2077', 'January 11th, 2077', '2077/01/11']"
1906,December,7,"['07 Dec 1906', '1906/12/07', 'December 7th, 1906']"
2008,July,14,"['14 Jul 2008', 'July 14th, 2008', '14th July, 2008', '14-07-2008', '2008-07-14', '07/14/2008', '2008/07/14', '14/07/2008']"
2045,August,29,['29/08/2045']
2044,June,19,"['19/06/2044', '06/19/2044', '19-06-2044', 'June 19th, 2044', '19th June, 2044', '2044-06-19', '19 Jun 2044']"
1965,August,18,"['18th August, 1965', '18/08/1965', '18 Aug 1965', '1965-08-18', 'August 18th, 1965']"
1957,April,3,"['04/03/1957', '1957/04/03', '03 Apr 1957', '03-04-1957', '1957-04-03', 'April 3rd, 1957']"
1958,April,17,"['17th April, 1958', '17-04-1958', '04/17/1958', '1958/04/17', 'April 17th, 1958', '17/04/1958', '17 Apr 1958', '1958-04-17']"
1999,April,1,"['April 1st, 1999', '04/01/1999']"
2043,February,18,"['February 18th, 2043', '18 Feb 2043', '18-02-2043', '02/18/2043', '18/02/2043', '2043-02-18']"
1991,October,8,"['10/08/1991', '8th October, 1991', '1991-10-08', '08/10/1991', '1991/10/08']"
1912,December,1,['1912-12-01']
1924,July,20,"['July 20th, 1924', '1924-07-20', '07/20/1924', '20 Jul 1924', '1924/07/20', '20th July, 1924']"
1952,January,2,"['January 2nd, 1952', '01/02/1952', '02 Jan 1952']"
2087,January,19,"['19/01/2087', '2087/01/19', '01/19/2087', '19-01-2087', 'January 19th, 2087']"
1966,November,6,"['11/06/1966', '6th November, 1966', '06 Nov 1966']"
1935,July,13,"['1935-07-13', '13-07-1935', '13th July, 1935', '1935/07/13', '13 Jul 1935', 'July 13th, 1935', '13/07/1935', '07/13/1935']"
1972,April,4,"['1972-04-04', '04/04/1972', '04-04-1972', '1972/04/04', '04 Apr 1972']"
1956,August,3,"['1956/08/03', '08/03/1956', '1956-08-03', '03-08-1956', '03 Aug 1956', 'August 3rd, 1956', '03/08/1956', '3rd August, 1956']"
1986,September,26,"['26/09/1986', '26-09-1986']"
1930,September,5,"['September 5th, 1930']"
1935,April,4,"['04 Apr 1935', '4th April, 1935', '04/04/1935', '04/04/1935', '04-04-1935', 'April 4th, 1935', '1935-04-04', '1935/04/04']"
2026,November,2,"['11/02/2026', '2nd November, 2026', '02-11-2026', '2026/11/02', '2026-11-02']"
1942,July,24,"['24 Jul 1942', '07/24/1942']"
2056,October,4,"['4th October, 2056', '04 Oct 2056', '10/04/2056']"
1985,June,30,"['30th June, 1985', '06/30/1985', '1985/06/30']"
1909,May,5,"['1909-05-05', '1909/05/05', '05-05-1909', '05/05/1909', '5th May, 1909', '05/05/1909', 'May 5th, 1909', '05 May 1909']"
2094,January,8,"['January 8th, 2094', '08 Jan 2094', '01/08/2094', '2094/01/08', '08/01/2094']"
1941,November,29,['1941/11/29']
2075,May,13,"['2075-05-13', '13th May, 2075', '13-05-2075']"
1955,February,20,"['20/02/1955', '02/20/1955', '1955-02-20']"
1986,June,21,"['06/21/1986', '21st June, 1986', '21-06-1986', '1986/06/21']"
2044,January,27,"['January 27th, 2044', '01/27/2044', '27-01-2044', '2044-01-27', '27th January, 2044', '27 Jan 2044']"
2003,February,24,"['2003/02/24', '24 Feb 2003']"
1960,December,13,"['December 13th, 1960', '1960/12/13', '12/13/1960', '13 Dec 1960', '13/12/1960', '13th December, 1960']"
2004,February,26,"['2004-02-26', '26 Feb 2004', '02/26/2004', 'February 26th, 2004', '2004/02/26', '26/02/2004', '26th February, 2004']"
1915,February,3,"['February 3rd, 1915', '03-02-1915', '03/02/1915']"
2053,November,13,"['2053/11/13', '2053-11-13', '13 Nov 2053']"
2014,December,7,"['07-12-2014', '12/07/2014', 'December 7th, 2014', '07 Dec 2014', '2014-12-07', '7th December, 2014', '2014/12/07']"
2084,September,4,['2084-09-04']
1958,July,11,"['11/07/1958', '11th July, 1958', '1958/07/11', '07/11/1958', '1958-07-11']"
1901,October,29,['10/29/1901']
2035,January,27,"['27 Jan 2035', '27th January, 2035']"
2016,January,14,['14 Jan 2016']
2036,September,24,"['24 Sep 2036', '24-09-2036', '09/24/2036', '24th September, 2036', '2036-09-24', '24/09/2036']"
2035,August,28,"['28th August, 2035', '2035-08-28', '2035/08/28', 'August 28th, 2035', '08/28/2035', '28/08/2035']"
1930,December,26,"['26th December, 1930', '1930-12-26', '26-12-1930', 'December 26th, 1930', '26 Dec 1930', '26/12/1930', '1930/12/26']"
2072,December,18,"['2072/12/18', '18 Dec 2072', '18-12-2072', '18/12/2072']"
2077,October,9,['09/10/2077']
1935,June,27,"['27/06/1935', '27-06-1935', '1935/06/27', '27th June, 1935']"
2021,June,27,"['June 27th, 2021', '27-06-2021', '27/06/2021', '27th June, 2021', '2021-06-27', '2021/06/27']"
2062,November,23,"['23-11-2062', '23/11/2062', '23 Nov 2062', '23rd November, 2062', '11/23/2062', '2062/11/23', '2062-11-23']"
1955,January,17,"['17 Jan 1955', '17/01/1955', '17-01-1955', 'January 17th, 1955']"
1968,February,2,"['1968/02/02', '02/02/1968', '1968-02-02']"
1931,August,31,"['1931/08/31', '1931-08-31', '31 Aug 1931']"
1921,June,12,"['06/12/1921', '12/06/1921', '12 Jun 1921', '1921-06-12', '1921/06/12']"
2012,September,9,"['September 9th, 2012', '09/09/2012', '2012/09/09', '09/09/2012', '9th September, 2012', '2012-09-09', '09 Sep 2012', '09-09-2012']"
2093,April,7,"['7th April, 2093', '07/04/2093', '07 Apr 2093']"
2087,September,1,"['01/09/2087', 'September 1st, 2087', '01-09-2087', '09/01/2087', '01 Sep 2087']"
2078,April,11,"['11th April, 2078', '2078/04/11', '04/11/2078']"
1945,June,16,"['16-06-1945', '1945/06/16', '16 Jun 1945']"
1904,November,15,"['November 15th, 1904', '11/15/1904']"
2098,October,8,"['08-10-2098', 'October 8th, 2098', '10/08/2098']"
2003,November,21,"['21-11-2003', '11/21/2003', '2003/11/21', '21/11/2003', '21 Nov 2003', '2003-11-21', '21st November, 2003']"
2048,December,25,"['December 25th, 2048']"
1975,July,16,"['1975/07/16', 'July 16th, 1975', '07/16/1975', '16-07-1975', '1975-07-16', '16/07/1975', '16 Jul 1975', '16th July, 1975']"
2054,July,18,"['18/07/2054', '18-07-2054', 'July 18th, 2054', '2054-07-18', '07/18/2054', '18th July, 2054', '2054/07/18']"
2091,December,26,"['2091-12-26', '12/26/2091', '26th December, 2091']"
2037,April,27,"['April 27th, 2037', '2037/04/27', '27th April, 2037', '27-04-2037', '27/04/2037']"
1942,July,26,"['26th July, 1942', '1942-07-26', 'July 26th, 1942']"
2006,November,11,"['11-11-2006', '11/11/2006', 'November 11th, 2006', '2006/11/11', '11/11/2006', '11 Nov 2006']"
2073,December,18,"['2073-12-18', '18/12/2073', '2073/12/18', '18th December, 2073', 'December 18th, 2073', '18 Dec 2073']"
2076,August,31,"['August 31st, 2076', '31/08/2076']"
2090,July,20,['2090/07/20']
2098,March,5,"['5th March, 2098', '05/03/2098', '2098-03-05', '05-03-2098', '03/05/2098', '2098/03/05']"
1944,May,8,"['1944-05-08', '8th May, 1944', '05/08/1944', '1944/05/08', 'May 8th, 1944']"
1985,July,7,"['07/07/1985', 'July 7th, 1985', '07/07/1985', '1985/07/07']"
1931,August,20,['20/08/1931']
1905,July,28,"['28-07-1905', '28th July, 1905', 'July 28th, 1905', '28/07/1905', '1905-07-28', '07/28/1905']"
2060,May,18,"['May 18th, 2060', '2060-05-18', '18/05/2060', '18-05-2060', '18th May, 2060', '18 May 2060', '2060/05/18']"
1922,June,25,"['25/06/1922', '1922-06-25']"
1936,September,10,['1936-09-10']
1953,November,17,"['17th November, 1953', '17-11-1953', '1953/11/17', '17/11/1953', 'November 17th, 1953', '11/17/1953', '17 Nov 1953', '1953-11-17']"
1926,January,1,"['January 1st, 1926', '01/01/1926']"
1914,January,29,"['1914-01-29', '29/01/1914', '29-01-1914', 'January 29th, 1914', '29 Jan 1914', '01/29/1914']"
2080,May,3,['03 May 2080']
1940,January,13,['1940/01/13']
1967,October,31,"['31 Oct 1967', '31-10-1967', '1967-10-31', 'October 31st, 1967', '1967/10/31']"
1945,October,27,"['1945/10/27', '1945-10-27', 'October 27th, 1945', '10/27/1945', '27 Oct 1945']"
1952,October,15,"['15/10/1952', '1952/10/15', '1952-10-15']"
2048,December,7,"['7th December, 2048']"
2064,March,14,"['14th March, 2064', 'March 14th, 2064', '2064-03-14', '2064/03/14', '14 Mar 2064', '14/03/2064', '14-03-2064', '03/14/2064']"
2033,May,31,"['2033/05/31', '31 May 2033', '05/31/2033', '2033-05-31']"
2008,May,23,"['23/05/2008', '05/23/2008', '23rd May, 2008', '2008-05-23', '23-05-2008', 'May 23rd, 2008', '2008/05/23']"
1919,October,11,"['11/10/1919', '10/11/1919', 'October 11th, 1919']"
1991,July,17,"['1991-07-17', '17-07-1991', '1991/07/17']"
2078,November,25,"['2078-11-25', '25/11/2078', 'November 25th, 2078', '25 Nov 2078', '2078/11/25']"
1913,April,12,"['12th April, 1913', '12/04/1913', 'April 12th, 1913', '12 Apr 1913', '12-04-1913', '1913-04-12']"
2089,November,18,"['2089/11/18', '18/11/2089', '18 Nov 2089', '11/18/2089', '18th November, 2089', '18-11-2089', 'November 18th, 2089']"
1928,November,23,"['November 23rd, 1928', '11/23/1928']"
2051,October,21,"['21 Oct 2051', '21-10-2051', '2051/10/21', '2051-10-21', 'October 21st, 2051', '21st October, 2051']"
1907,July,15,"['15/07/1907', '1907-07-15', '15th July, 1907', 'July 15th, 1907']"
2070,March,3,"['03 Mar 2070', '03/03/2070', '03/03/2070', '3rd March, 2070', '03-03-2070', '2070/03/03', '2070-03-03']"
2025,March,10,"['10-03-2025', '2025-03-10', '10 Mar 2025', '10th March, 2025', '10/03/2025', 'March 10th, 2025']"
2001,March,19,"['2001/03/19', 'March 19th, 2001', '19 Mar 2001']"
1961,May,16,"['16th May, 1961', '16/05/1961', '1961-05-16', '1961/05/16', '16 May 1961']"
1973,February,1,"['1973/02/01', '01-02-1973', '02/01/1973', '01 Feb 1973', '1st February, 1973', 'February 1st, 1973', '1973-02-01', '01/02/1973']"
1902,July,2,"['1902-07-02', '02/07/1902']"
1973,January,12,"['12th January, 1973', '1973-01-12', 'January 12th, 1973', '01/12/1973', '1973/01/12', '12/01/1973']"
2010,October,27,"['2010-10-27', '10/27/2010', '27 Oct 2010']"
1985,July,25,"['07/25/1985', '25th July, 1985', '25/07/1985', '1985-07-25', '1985/07/25']"
2062,March,10,"['03/10/2062', '2062/03/10']"
1985,July,1,"['July 1st, 1985', '07/01/1985', '1985-07-01', '1st July, 1985', '01/07/1985', '1985/07/01']"
2032,December,14,"['December 14th, 2032', '2032/12/14', '14 Dec 2032', '14th December, 2032', '2032-12-14']"
2074,November,14,"['14/11/2074', '14-11-2074', '14th November, 2074']"
1959,October,14,"['1959-10-14', '14/10/1959', '14th October, 1959', 'October 14th, 1959', '10/14/1959']"
1923,October,23,['23/10/1923']
1906,March,4,"['March 4th, 1906', '03/04/1906', '4th March, 1906', '04 Mar 1906', '04-03-1906', '1906/03/04', '04/03/1906']"
2067,February,15,"['15/02/2067', '2067/02/15', '15 Feb 2067', '2067-02-15', 'February 15th, 2067']"
2054,October,19,"['2054-10-19', '19 Oct 2054', '19th October, 2054', '19-10-2054', '2054/10/19', '19/10/2054', 'October 19th, 2054']"
2058,August,24,"['24/08/2058', '24th August, 2058', '2058/08/24']"
1924,July,16,"['16th July, 1924', '16-07-1924', 'July 16th, 1924', '1924/07/16', '16/07/1924', '07/16/1924', '16 Jul 1924', '1924-07-16']"
1988,September,8,"['09/08/1988', '08 Sep 1988', '08-09-1988', 'September 8th, 1988', '1988/09/08', '1988-09-08', '8th September, 1988']"
1939,April,11,"['1939-04-11', '11-04-1939', '11/04/1939']"
1998,August,14,"['14 Aug 1998', '08/14/1998', 'August 14th, 1998', '1998/08/14', '14-08-1998', '14/08/1998', '1998-08-14', '14th August, 1998']"
1981,October,3,"['03 Oct 1981', '10/03/1981', '03/10/1981', 'October 3rd, 1981', '03-10-1981', '1981-10-03', '1981/10/03', '3rd October, 1981']"
1965,January,27,"['27 Jan 1965', '27/01/1965', '1965-01-27', '01/27/1965', 'January 27th, 1965', '27-01-1965', '1965/01/27']"
1984,December,7,"['7th December, 1984', '1984/12/07', 'December 7th, 1984', '07/12/1984', '07 Dec 1984', '07-12-1984']"
2033,February,18,"['18th February, 2033', '2033/02/18', '18/02/2033']"
1989,October,10,"['10/10/1989', 'October 10th, 1989', '1989-10-10', '10/10/1989']"
2003,September,10,"['10/09/2003', '2003/09/10', '2003-09-10']"
2007,February,21,"['2007/02/21', '2007-02-21']"
2080,November,28,"['11/28/2080', '28th November, 2080', '28/11/2080', '2080-11-28', '28 Nov 2080', 'November 28th, 2080']"
2049,May,25,"['05/25/2049', '2049/05/25', '25 May 2049', '25th May, 2049', '25/05/2049', '2049-05-25']"
2013,April,5,"['2013-04-05', '05/04/2013', 'April 5th, 2013', '2013/04/05']"
2010,May,1,"['2010-05-01', '01/05/2010', '01 May 2010', 'May 1st, 2010', '01-05-2010', '1st May, 2010', '05/01/2010', '2010/05/01']"
1951,September,15,['15 Sep 1951']
1997,November,6,"['1997/11/06', '6th November, 1997', 'November 6th, 1997', '11/06/1997', '1997-11-06', '06 Nov 1997']"
2022,August,22,"['22/08/2022', '08/22/2022', '22-08-2022', '22nd August, 2022', '22 Aug 2022', '2022-08-22', 'August 22nd, 2022', '2022/08/22']"
1943,October,26,"['26-10-1943', '26 Oct 1943', '26/10/1943', '26th October, 1943', 'October 26th, 1943']"
2036,January,6,"['6th January, 2036', '2036-01-06', 'January 6th, 2036', '06/01/2036', '2036/01/06', '06-01-2036', '06 Jan 2036', '01/06/2036']"
1961,August,25,"['08/25/1961', '25th August, 1961', '25-08-1961']"
2003,May,26,"['2003/05/26', '26/05/2003', 'May 26th, 2003', '26 May 2003']"
2051,September,20,"['2051/09/20', '2051-09-20', '20 Sep 2051', '20-09-2051', '09/20/2051']"
1976,December,15,"['15/12/1976', '1976/12/15', '12/15/1976', '15th December, 1976', '1976-12-15']"
2004,August,29,"['2004/08/29', '08/29/2004', 'August 29th, 2004', '29/08/2004', '29-08-2004', '2004-08-29', '29 Aug 2004']"
1998,February,4,"['1998-02-04', '02/04/1998', '04 Feb 1998', 'February 4th, 1998', '04/02/1998', '4th February, 1998', '1998/02/04', '04-02-1998']"
1909,December,19,"['1909-12-19', '19 Dec 1909', '1909/12/19', '12/19/1909', '19th December, 1909', '19-12-1909', 'December 19th, 1909']"
2089,December,3,"['3rd December, 2089', '03-12-2089']"
2090,August,7,"['08/07/2090', '07/08/2090', '2090-08-07', '07 Aug 2090', '07-08-2090', '2090/08/07', '7th August, 2090']"
1942,June,7,"['7th June, 1942', '07 Jun 1942', '1942/06/07']"
2026,July,6,"['07/06/2026', '06-07-2026', 'July 6th, 2026', '06/07/2026', '2026/07/06', '06 Jul 2026']"
2049,August,23,"['2049-08-23', '08/23/2049']"
1988,September,24,"['September 24th, 1988', '1988/09/24', '24/09/1988', '24th September, 1988', '09/24/1988']"
2017,April,25,"['04/25/2017', '25 Apr 2017', 'April 25th, 2017', '25/04/2017', '25th April, 2017', '25-04-2017', '2017-04-25']"
1945,February,11,"['11th February, 1945', 'February 11th, 1945', '1945/02/11', '11-02-1945', '02/11/1945']"
2016,June,8,"['June 8th, 2016', '2016-06-08', '2016/06/08', '8th June, 2016', '08 Jun 2016', '08-06-2016', '08/06/2016', '06/08/2016']"
2054,May,20,"['20 May 2054', '2054-05-20', '05/20/2054', '20-05-2054', '20th May, 2054', '2054/05/20', 'May 20th, 2054']"
1934,May,30,"['30 May 1934', '30-05-1934', 'May 30th, 1934', '05/30/1934', '30/05/1934', '1934-05-30', '30th May, 1934']"
1987,November,28,"['28th November, 1987', '11/28/1987']"
2025,September,2,"['02-09-2025', 'September 2nd, 2025', '2nd September, 2025', '02 Sep 2025']"
1989,June,2,"['02-06-1989', '02 Jun 1989', '1989-06-02', '06/02/1989', '1989/06/02']"
1917,February,7,"['07/02/1917', '1917/02/07', 'February 7th, 1917']"
1902,August,12,"['08/12/1902', '1902-08-12', '1902/08/12', '12-08-1902', '12 Aug 1902', 'August 12th, 1902']"
2076,October,17,['17-10-2076']
1980,May,25,"['25th May, 1980', '1980/05/25', '25 May 1980', '05/25/1980', '25/05/1980', '25-05-1980', '1980-05-25']"
1957,February,15,"['15th February, 1957']"
1907,October,26,"['26th October, 1907', '26 Oct 1907', '10/26/1907', 'October 26th, 1907', '26/10/1907', '26-10-1907']"
2001,April,30,"['2001-04-30', '04/30/2001']"
2084,January,11,"['2084-01-11', '11th January, 2084', '11-01-2084', 'January 11th, 2084', '2084/01/11']"
1941,August,14,['14-08-1941']
2033,April,2,"['2033/04/02', '02 Apr 2033', '2033-04-02', '02-04-2033', '04/02/2033', '2nd April, 2033', '02/04/2033', 'April 2nd, 2033']"
2081,March,27,"['27/03/2081', '27 Mar 2081', '2081/03/27', '2081-03-27', '27-03-2081', 'March 27th, 2081', '03/27/2081']"
1967,September,7,"['07/09/1967', 'September 7th, 1967', '1967-09-07', '7th September, 1967', '09/07/1967', '07-09-1967', '1967/09/07', '07 Sep 1967']"
1985,September,1,['09/01/1985']
1964,August,18,"['August 18th, 1964', '18th August, 1964', '1964/08/18']"
2089,August,13,"['2089/08/13', '13 Aug 2089', '2089-08-13', '08/13/2089', 'August 13th, 2089']"
2099,August,26,"['26-08-2099', '26th August, 2099', '2099-08-26', '08/26/2099', '26 Aug 2099', '26/08/2099', 'August 26th, 2099']"
2057,March,4,"['03/04/2057', '4th March, 2057']"
1936,January,10,['1936/01/10']
2040,November,13,"['13 Nov 2040', '2040/11/13', '13-11-2040', '13/11/2040']"
2051,October,15,"['15th October, 2051', '15 Oct 2051', '10/15/2051']"
2047,April,15,"['April 15th, 2047', '15 Apr 2047']"
2093,January,9,"['09/01/2093', '01/09/2093', '9th January, 2093', '2093/01/09', '09 Jan 2093']"
2083,October,11,"['2083/10/11', '2083-10-11', '11th October, 2083', '11-10-2083', '11/10/2083', 'October 11th, 2083', '11 Oct 2083', '10/11/2083']"
1951,July,2,"['2nd July, 1951', '02/07/1951', '02-07-1951', '07/02/1951', '02 Jul 1951', '1951-07-02', '1951/07/02']"
2073,November,14,"['14-11-2073', 'November 14th, 2073', '14/11/2073', '14 Nov 2073', '2073-11-14', '2073/11/14', '11/14/2073']"
2086,September,29,['09/29/2086']
2082,March,7,"['07 Mar 2082', '2082-03-07', '07-03-2082', '03/07/2082', '2082/03/07', '7th March, 2082']"
2003,April,8,"['April 8th, 2003', '2003-04-08', '08 Apr 2003', '04/08/2003', '08/04/2003', '2003/04/08', '08-04-2003', '8th April, 2003']"
1976,May,8,"['08/05/1976', '8th May, 1976', '05/08/1976', '1976-05-08', '08-05-1976', '08 May 1976', 'May 8th, 1976']"
2008,July,4,"['2008/07/04', '04/07/2008']"
2070,April,23,"['April 23rd, 2070', '2070/04/23', '23-04-2070']"
1907,August,1,"['August 1st, 1907', '01 Aug 1907', '01-08-1907', '01/08/1907', '1907-08-01', '1st August, 1907', '1907/08/01', '08/01/1907']"
2098,July,27,"['27/07/2098', '27th July, 2098', '2098-07-27', '07/27/2098']"
2010,July,21,"['July 21st, 2010', '2010/07/21', '07/21/2010', '21/07/2010']"
2062,February,9,"['2062-02-09', '2062/02/09']"
2020,July,27,"['2020-07-27', '27-07-2020', '27/07/2020', '27th July, 2020']"
2066,February,10,['10/02/2066']
1924,February,2,"['02/02/1924', '1924-02-02', '02/02/1924']"
1968,December,31,"['31 Dec 1968', '12/31/1968', '1968/12/31', '31-12-1968', '31/12/1968']"
2051,January,9,"['01/09/2051', '2051/01/09', '09 Jan 2051', '09/01/2051', '09-01-2051', 'January 9th, 2051']"
1918,April,19,"['April 19th, 1918', '19th April, 1918', '1918-04-19', '19 Apr 1918', '04/19/1918', '19-04-1918', '1918/04/19', '19/04/1918']"
1933,May,11,"['1933-05-11', 'May 11th, 1933', '11 May 1933']"
2056,October,20,"['2056-10-20', '20 Oct 2056', '20/10/2056']"
1956,November,7,"['07 Nov 1956', 'November 7th, 1956', '1956-11-07', '11/07/1956', '07/11/1956', '1956/11/07']"
2023,August,2,"['2023-08-02', '02 Aug 2023', 'August 2nd, 2023', '08/02/2023', '02-08-2023', '2nd August, 2023', '2023/08/02', '02/08/2023']"
